ien	name	item_text	type	package	entry_action	exit_action
5888	PSO LM ADD INTERVENTION	Enter New Intervention	A	OUTPATIENT PHARMACY	D FULL^VALM1,NEW^PSODELI	
5889	PSO LM PRINT INTERVENTION	Print Intervention	A	OUTPATIENT PHARMACY	D FULL^VALM1,OUT^PSODELI	
5890	PSO LM VIEW INTERVENTION	View Interventions	A	OUTPATIENT PHARMACY	D VIEW^PSODELI	
5891	IBCEM CSA CORRECT REJECTED/DENIED BILL	Correct Bill	A	INTEGRATED BILLING	D CRD^IBCECSA4	I '$D(IOUON) D ENS^%ZISS
5892	IBCEM CORRECT REJECTED/DENIED BILL	Correct Bill	A	INTEGRATED BILLING	D CRD^IBCECOB2	I '$D(IOUON) D ENS^%ZISS
5893	IBJP IB SITE SELECTED SERVICE CODES	Service Type Codes	A	INTEGRATED BILLING	D EN^IBJPI5	
5894	RCDPE EOB WORKLIST ADMIN COST ADJ	Admin Cost Adj	A	ACCOUNTS RECEIVABLE	S PRCASUP=1 D FULL^VALM1 D EN1^PRCAEXM(1) K DTOUT	S VALMBCK="R" K PRCASUP
5895	RA REG 2.4	Rad/Nuc Med exam registered (v2.4 HL7)	E	RADIOLOGY/NUCLEAR MEDICINE		
5896	RA EXAMINED 2.4	Rad/Nuc Med examined case (v2.4 HL7)	E	RADIOLOGY/NUCLEAR MEDICINE		
5897	RA CANCEL 2.4	Rad/Nuc Med exam cancellation (v2.4 HL7)	E	RADIOLOGY/NUCLEAR MEDICINE		
5898	RA RPT 2.4	Rad/Nuc Med report released/verified (v2.4 HL7)	E	RADIOLOGY/NUCLEAR MEDICINE		
5899	MAG CPACS A01	Inpatient admission event driver.	E			
5900	MAG CPACS A01 SUBS	Routes inpatient admissions using HL7 1.6	S			
5901	MAG CPACS A02	Patient transfer event driver.	E			
5902	MAG CPACS A02 SUBS	Routes patient transfers using HL7 1.6	S			
5903	MAG CPACS A03	Patient discharge event driver.	E			
5904	MAG CPACS A03 SUBS	Routes patient discharges using HL7 1.6	S			
5905	MAG CPACS A11	Cancel patient admission event driver.	E			
5906	MAG CPACS A11 SUBS	Routes admission cacellations using HL7 1.6	S			
5907	MAG CPACS A12	Cancel patient transfer event driver.	E			
5908	MAG CPACS A12 SUBS	Routes transfer cancellations using HL7 1.6	S			
5909	MAG CPACS A13	Cancel patient discharge event driver.	E			
5910	MAG CPACS A13 SUBS	Routes discharge cancellations using HL7 1.6	S			
5911	PSO HRC MENU	Patient Medication Profile	M	OUTPATIENT PHARMACY		
5912	PSO HRC PATIENT INFORMATION	Patient Information	A	OUTPATIENT PHARMACY	D PI^PSOMPHRC	
5913	PSO HRC PAT INFO MENU	Patient Information Menu	M	OUTPATIENT PHARMACY		
