protocol_name	protocol_package	action_kind	callee_tag	callee_routine	call_kind	ref_count
DGJ INCOMPLETE EVENT		entry		DGJTEVT	do	1
DGJ IRT ADD DEF. PARMS		entry	EN	DGJTADD	do	1
DGJ IRT COMPLETE DEF		entry	QUICMP	DGJTEE2	do	1
DGJ IRT EDIT DEFICIENCY		entry	NEW	DGJTEE	do	1
DGJ IRT EDIT PARMS		entry	EDIT	DGJPAR1	do	1
DGJ IRT EDIT RECORD		entry	NEW	DGJTEE	do	1
DGJ IRT ENTER DEFICIENCY		entry	NEW1	DGJTEE	do	1
DGJ IRT ENTER RECORD		entry	NEW1	DGJTEE	do	1
DGJ IRT EXP		entry	EXP	DGJTEE1	do	1
DGJ JUMP CATEG		entry	JUMP	DGJTEE3	do	1
DGJ TS UPDATE		entry	TS	DGJTUTL	do	1
DGMST DELETE ENTRY	REGISTRATION	entry	DL	DGMSTL1	do	1
DGMST DISPLAY PATIENT	REGISTRATION	entry	DP	DGMSTL1	do	1
DGMST EDIT ENTRY	REGISTRATION	entry	EL	DGMSTL1	do	1
DGMST ENTER BY STATUS	REGISTRATION	entry	STAT	DGMSTL1	do	1
DGMST EXPAND ENTRY	REGISTRATION	entry	EXPND	DGMSTL	do	1
DGMST PATIENT ENTER	REGISTRATION	entry	PAT	DGMSTL1	do	1
DGMT MEANS TEST DEPENDENT ADD	REGISTRATION	entry	EN1	DGDEP2	do	1
DGMT MEANS TEST DEPENDENT ADDDEP	REGISTRATION	entry	ADDEP	DGDEP4	do	1
DGMT MEANS TEST DEPENDENT CHILD	REGISTRATION	entry	EN3	DGDEP2	do	1
DGMT MEANS TEST DEPENDENT DELETE	REGISTRATION	entry	EN	DGDEP5	do	1
DGMT MEANS TEST DEPENDENT DEMO	REGISTRATION	entry	EDITDEP	DGDEP4	do	1
DGMT MEANS TEST DEPENDENT EDIT	REGISTRATION	entry	SEL	DGDEPU	do	1
DGMT MEANS TEST DEPENDENT EFFECTIVE	REGISTRATION	entry	EN	DGDEP1	do	1
DGMT MEANS TEST DEPENDENT REMOVE	REGISTRATION	entry	EN2	DGDEP2	do	1
DGMT MEANS TEST DEPENDENT SPOUSE DEMO	REGISTRATION	entry	EN	DGDEP4	do	1
DGMTH ADD HARDSHIP	REGISTRATION	entry	ADD	DGMTHL1	do	1
DGMTH DATE STAMP	REGISTRATION	entry	DATETIME	DGMTU4	do	1
DGMTH DELETE HARDSHIP	REGISTRATION	entry	DELETE	DGMTHL1	do	1
DGMTH EDIT COMMENTS	REGISTRATION	entry	COMMENTS	DGMTHL1	do	1
DGMTH EDIT HARDSHIP	REGISTRATION	entry	EDIT	DGMTHL1	do	1
DGOERR ADMIT	REGISTRATION	entry	LO	DGUTL	do	1
DGOERR ADMIT	REGISTRATION	entry	INP	VADPT	do	1
DGOERR BED SWITCH	REGISTRATION	entry	LO	DGUTL	do	1
DGOERR BED SWITCH	REGISTRATION	entry	INP	VADPT	do	1
DGOERR DISCHARGE	REGISTRATION	entry	LO	DGUTL	do	1
DGOERR DISCHARGE	REGISTRATION	entry	INP	VADPT	do	1
DGOERR NOTE	REGISTRATION	entry	EN	DGOERNOT	do	1
DGOERR PATIENT INQUIRY	REGISTRATION	entry	OREN	DGRPD	do	1
DGOERR SCHED ADMIT	REGISTRATION	entry	OREN	DGSCHAD	do	1
DGOERR TRANSFER	REGISTRATION	entry	LO	DGUTL	do	1
DGOERR TRANSFER	REGISTRATION	entry	INP	VADPT	do	1
DGPF ADD FLAG	REGISTRATION	entry	AF	DGPFLF3	do	1
DGPF ASSIGN FLAG	REGISTRATION	entry	AF	DGPFLMA2	do	1
DGPF CHANGE ASSIGNMENT OWNERSHIP	REGISTRATION	entry	CO	DGPFLMA4	do	1
DGPF CHANGE CATEGORY	REGISTRATION	entry	CC	DGPFLF2	do	1
DGPF DISPLAY ASSIGNMENT DETAIL	REGISTRATION	entry	DF	DGPFLMA1	do	1
DGPF DISPLAY FLAG DETAIL	REGISTRATION	entry	DF	DGPFLF2	do	1
DGPF DISPLAY QUERY RESULTS	REGISTRATION	entry	DR	DGPFLMQ1	do	1
DGPF EDIT ASSIGNMENT	REGISTRATION	entry	EF	DGPFLMA3	do	1
DGPF EDIT FLAG	REGISTRATION	entry	EF	DGPFLF4	do	1
DGPF PRF TR REQ CHANGE VIEW	REGISTRATION	entry	CV	DGPFTR1	do	1
DGPF PRF TR REQ DETAILS	REGISTRATION	entry	SD	DGPFTR1	do	1
DGPF PRF TR REQ REVIEW	REGISTRATION	entry	RR	DGPFTR1	do	1
DGPF SELECT PATIENT	REGISTRATION	entry	SP	DGPFLMA1	do	1
DGPF SORT FLAG LIST	REGISTRATION	entry	SL	DGPFLF2	do	1
