source_package	dest_package	call_edges	distinct_caller_routines	distinct_callee_routines
Consult Request Tracking	VA FileMan	390	170	25
Consult Request Tracking	Web Services Client	8	4	1
Controlled Substances	Controlled Substances	374	192	153
Controlled Substances	Health Level Seven	20	6	5
Controlled Substances	IFCAP	3	3	1
Controlled Substances	Inpatient Medications	3	3	2
Controlled Substances	Kernel	131	78	9
Controlled Substances	List Manager	1	1	1
Controlled Substances	MailMan	25	17	3
Controlled Substances	Order Entry Results Reporting	8	3	4
Controlled Substances	Outpatient Pharmacy	16	6	8
Controlled Substances	Pharmacy Data Management	3	3	2
Controlled Substances	Registration	48	26	5
Controlled Substances	VA FileMan	896	270	18
Credentials Tracking	VA FileMan	1	1	1
DRG Grouper	DRG Grouper	729	164	193
DRG Grouper	Kernel	326	175	7
DRG Grouper	Lexicon Utility	12	9	3
DRG Grouper	MailMan	4	3	2
