routine_name	package	source_path	line_count	byte_size	tag_count	comment_line_count	version_line	is_percent_routine	in_file_9_8	file_9_8_type	rpc_count	option_count	protocol_invoked_count	out_degree	in_degree	out_calls_total	in_calls_total	distinct_globals_touched	global_ref_total
DVBCWED1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWED1.m	55	1116	2	53	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEE	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEE.m	28	978	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEE1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEE1.m	129	5555	2	127	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEE2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEE2.m	109	4964	2	107	;;2.7;AMIE;**76*;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEE3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEE3.m	28	985	4	3	;;2.7;AMIE;**121**;Apr 10, 1995;Build 9	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEE4	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEE4.m	145	6758	2	143	;;2.7;AMIE;**121**;Apr 10, 1995;Build 9	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEE5	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEE5.m	28	983	4	3	;;2.7;AMIE;**138**;Apr 10, 1995;Build 6	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEE6	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEE6.m	180	9465	2	178	;;2.7;AMIE;**138**;Apr 10, 1995;Build 6	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEEA	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEEA.m	28	979	4	3	;;2.7;AMIE;**76**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEH	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEH.m	28	1010	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEH1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEH1.m	55	1390	2	53	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEH2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEH2.m	28	1021	4	3	;;2.7;AMIE;**120**;Apr 10, 1995;Build 4	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEH3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEH3.m	54	1954	2	52	;;2.7;AMIE;**120**;Apr 10, 1995;Build 4	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEM	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEM.m	32	1196	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEM1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEM1.m	94	2516	2	92	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEN	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEN.m	28	1003	4	3	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEN1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEN1.m	50	1558	2	48	;;2.7;AMIE;**12**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWEN2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEN2.m	28	1013	4	3	;;2.7;AMIE;**170**;Apr 10, 1995;Build 1	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWEN3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWEN3.m	80	3651	2	78	;;2.7;AMIE;**170**;Apr 10, 1995;Build 1	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWER	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWER.m	28	966	4	3	;;2.7;AMIE;**26**;Apr 10, 1995	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWER1	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWER1.m	98	2901	2	96	;;2.7;AMIE;**26**;Apr 10, 1995	N	Y	R	0	0	0	0	0	0	0	0	0
DVBCWER2	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWER2.m	28	978	4	3	;;2.7;AMIE;**118**;Apr 10, 1995;Build 3	N	Y	R	0	0	0	1	0	1	0	2	5
DVBCWER3	Automated Medical Information Exchange	/opt/VistA-M/Packages/Automated Medical Information Exchange/Routines/DVBCWER3.m	78	3213	2	76	;;2.7;AMIE;**118**;Apr 10, 1995;Build 3	N	Y	R	0	0	0	0	0	0	0	0	0
