caller_routine	caller_package	callee_tag	callee_routine	kind	ref_count
DGX5FD6	Registration	M	DIE17	goto	1
DGX5FD6	Registration	NOSCR	DIED	do	1
DGX5FD6	Registration	OREF	DILF	func	5
DGX5FD6	Registration	OUT	DIE17	goto	30
DGX5FD6	Registration	POA501	DGPTFUT1	func	5
DGX5FD6	Registration	RW	DIR2	goto	1
DGX5FD6	Registration	SET	DIED	do	1
DGX5FD6	Registration	SET	DIQ	func	1
DGX5FD6	Registration	UNIQFERR	DIE17	goto	1
DGX5FD6	Registration	Z	DIE17	goto	1
DGX5FD6	Registration	Z	DIE2	goto	1
DGX5FD7	Registration		DGX5FD8	goto	1
DGX5FD7	Registration		DIE17	goto	1
DGX5FD7	Registration	AST	DIED	goto	1
DGX5FD7	Registration	CREF	DILF	func	5
DGX5FD7	Registration	E	DIE0	do	1
DGX5FD7	Registration	EZBLD	DIALOG	func	1
DGX5FD7	Registration	F	DIE17	do	36
DGX5FD7	Registration	FIREREC	DIE17	do	30
DGX5FD7	Registration	GETAPI	DGICDGT	do	5
DGX5FD7	Registration	LABEL	DIALOGZ	func	10
DGX5FD7	Registration	M	DIE17	goto	1
DGX5FD7	Registration	NOSCR	DIED	do	1
DGX5FD7	Registration	OREF	DILF	func	5
DGX5FD7	Registration	OUT	DIE17	goto	30
DGX5FD7	Registration	POA501	DGPTFUT1	func	5
DGX5FD7	Registration	RW	DIR2	goto	1
DGX5FD7	Registration	SET	DIED	do	1
DGX5FD7	Registration	SET	DIQ	func	1
DGX5FD7	Registration	UNIQFERR	DIE17	goto	1
DGX5FD7	Registration	Z	DIE17	goto	1
DGX5FD7	Registration	Z	DIE2	goto	1
DGX5FD8	Registration		DGX5FD9	goto	1
DGX5FD8	Registration		DIE17	goto	1
DGX5FD8	Registration	AST	DIED	goto	1
DGX5FD8	Registration	CHQUES	DGPTSPQ	do	1
DGX5FD8	Registration	CREF	DILF	func	2
DGX5FD8	Registration	DRUG	DGPTSC01	do	1
DGX5FD8	Registration	E	DIE0	do	3
DGX5FD8	Registration	EZBLD	DIALOG	func	1
DGX5FD8	Registration	F	DIE17	do	38
DGX5FD8	Registration	FIREREC	DIE17	do	35
DGX5FD8	Registration	GETAPI	DGICDGT	do	2
DGX5FD8	Registration	LABEL	DIALOGZ	func	13
DGX5FD8	Registration	M	DIE17	goto	1
DGX5FD8	Registration	N	DIE17	goto	2
DGX5FD8	Registration	NOSCR	DIED	do	1
DGX5FD8	Registration	OREF	DILF	func	2
DGX5FD8	Registration	OUT	DIE17	goto	35
DGX5FD8	Registration	POA501	DGPTFUT1	func	2
DGX5FD8	Registration	RW	DIR2	goto	1
DGX5FD8	Registration	SCAN	DGPTSCAN	do	1
DGX5FD8	Registration	SET	DIED	do	1
DGX5FD8	Registration	SET	DIQ	func	1
DGX5FD8	Registration	UNIQFERR	DIE17	goto	1
DGX5FD8	Registration	Z	DIE17	goto	1
DGX5FD8	Registration	Z	DIE2	goto	1
DGX5FD9	Registration		DIE17	goto	1
DGX5FD9	Registration	AST	DIED	goto	1
DGX5FD9	Registration	E	DIE0	do	6
DGX5FD9	Registration	EZBLD	DIALOG	func	1
DGX5FD9	Registration	F	DIE17	do	10
DGX5FD9	Registration	FILEHNC	DGNTAPI1	func	1
DGX5FD9	Registration	FIREREC	DIE17	do	10
DGX5FD9	Registration	LABEL	DIALOGZ	func	5
DGX5FD9	Registration	M	DIE17	goto	1
DGX5FD9	Registration	N	DIE17	goto	5
DGX5FD9	Registration	NOSCR	DIED	do	1
DGX5FD9	Registration	OUT	DIE17	goto	10
DGX5FD9	Registration	RW	DIR2	goto	1
DGX5FD9	Registration	SET	DIED	do	1
DGX5FD9	Registration	SET	DIQ	func	1
DGX5FD9	Registration	UNIQFERR	DIE17	goto	1
DGX5FD9	Registration	Z	DIE17	goto	1
DGX5FD9	Registration	Z	DIE2	goto	1
DGX6	Registration		DIE17	goto	1
DGX6	Registration	AST	DIED	goto	1
DGX6	Registration	CENSUS	DGPTIC10	do	1
DGX6	Registration	CODESYS	DGPTIC10	func	1
DGX6	Registration	E	DIE0	do	2
DGX6	Registration	EZBLD	DIALOG	func	2
DGX6	Registration	F	DIE17	do	5
DGX6	Registration	FIREREC	DIE17	do	5
DGX6	Registration	GETTMP	DIKC1	func	1
DGX6	Registration	LABEL	DIALOGZ	func	1
DGX6	Registration	M	DIE17	goto	1
DGX6	Registration	N	DIE17	goto	1
DGX6	Registration	NOSCR	DIED	do	1
DGX6	Registration	OUT	DIE17	goto	5
DGX6	Registration	OUTPUT	DIETLIBF	func	1
DGX6	Registration	RW	DIR2	goto	1
DGX6	Registration	SET	DIED	do	1
DGX6	Registration	SET	DIQ	func	1
DGX6	Registration	UNIQFERR	DIE17	goto	1
DGX6	Registration	VALEXT	DIETLIBF	func	1
DGX6	Registration	VALEXTS	DIETLIBF	func	1
DGX6	Registration	Z	DIE17	goto	1
DGX6	Registration	Z	DIE2	goto	1
DGX61	Registration		%DT	do	1
DGX61	Registration		DGX62	do	1
DGX61	Registration		DGX63	do	1
DGX61	Registration		DGX64	goto	1
DGX61	Registration		DIC	do	1
DGX61	Registration		DIE17	goto	1
DGX61	Registration	AST	DIED	goto	1
DGX61	Registration	BADDT	DGPTFM6	func	1
DGX61	Registration	BS	DGPTFM6	do	1
DGX61	Registration	CREF	DILF	func	10
DGX61	Registration	E	DIE0	do	2
DGX61	Registration	EZBLD	DIALOG	func	1
DGX61	Registration	F	DIE17	do	47
DGX61	Registration	FIREREC	DIE17	do	37
DGX61	Registration	GETAPI	DGICDGT	do	9
DGX61	Registration	LABEL	DIALOGZ	func	11
DGX61	Registration	M	DIE17	goto	1
DGX61	Registration	N	DIE17	goto	1
DGX61	Registration	NOSCR	DIED	do	1
DGX61	Registration	OREF	DILF	func	10
DGX61	Registration	OUT	DIE17	goto	37
DGX61	Registration	OUTPUT	DIETLIBF	func	1
DGX61	Registration	RW	DIR2	goto	1
DGX61	Registration	SET	DIED	do	1
DGX61	Registration	SET	DIQ	func	1
DGX61	Registration	UNIQFERR	DIE17	goto	1
DGX61	Registration	VALEXT	DIETLIBF	func	1
DGX61	Registration	VALEXTS	DIETLIBF	func	1
DGX61	Registration	Z	DIE17	goto	1
DGX61	Registration	Z	DIE2	goto	1
DGX64	Registration		DGX65	do	1
DGX64	Registration		DGX66	goto	1
DGX64	Registration		DIE17	goto	1
DGX64	Registration	AST	DIED	goto	1
DGX64	Registration	CREF	DILF	func	11
DGX64	Registration	E	DIE0	do	1
DGX64	Registration	EZBLD	DIALOG	func	1
DGX64	Registration	F	DIE17	do	45
DGX64	Registration	FIREREC	DIE17	do	33
DGX64	Registration	GETAPI	DGICDGT	do	11
DGX64	Registration	LABEL	DIALOGZ	func	11
DGX64	Registration	M	DIE17	goto	1
DGX64	Registration	NOSCR	DIED	do	1
DGX64	Registration	OREF	DILF	func	11
DGX64	Registration	OUT	DIE17	goto	33
DGX64	Registration	OUTPUT	DIETLIBF	func	1
DGX64	Registration	RW	DIR2	goto	1
DGX64	Registration	SET	DIED	do	1
DGX64	Registration	SET	DIQ	func	1
DGX64	Registration	UNIQFERR	DIE17	goto	1
DGX64	Registration	VALEXT	DIETLIBF	func	1
DGX64	Registration	VALEXTS	DIETLIBF	func	1
DGX64	Registration	Z	DIE17	goto	1
DGX64	Registration	Z	DIE2	goto	1
DGX66	Registration		DIE17	goto	1
DGX66	Registration	AST	DIED	goto	1
