routine	entry_index	line_text	tag_offset	error_text
DGBTDIV	1	5	ASK2	F - Undefined Function.
DGBTDIV	2	7	ASK2+2	F - Undefined Function.
DGBTDW	1	140	LOCKNEW+4	S - Non-Incremental Lock.
DGBTDW	2	351	QUIT+2	S - Non-Incremental Lock.
DGBTEF1	1	43	ED+5	S - Non-Incremental Lock.
DGBTEF1	2	45	ED+7	S - Non-Incremental Lock.
DGBTMTTH	1	1	DGBTMTTH	S - First line of routine violates the SAC.
DGBTR122	1	1	DGBTR122	S - First line of routine violates the SAC.
DGBTR124	1	1	DGBTR124	S - First line of routine violates the SAC.
DGBTUTL1	1	1	DGBTUTL1	S - First line of routine violates the SAC.
DGCNTRY	1	1	DGCNTRY	S - First line of routine violates the SAC.
DGEEREIM	1	1	DGEEREIM	S - First line of routine violates the SAC.
DGENA	1	1	DGENA	S - First line of routine violates the SAC.
DGENA1A	1	1	DGENA1A	S - First line of routine violates the SAC.
DGENCD	1	1	DGENCD	S - First line of routine violates the SAC.
DGENCD1	1	1	DGENCD1	S - First line of routine violates the SAC.
DGENCDA	1	1	DGENCDA	S - First line of routine violates the SAC.
DGENCDA1	1	1	DGENCDA1	S - First line of routine violates the SAC.
DGENCDA2	1	1	DGENCDA2	S - First line of routine violates the SAC.
DGENCDRP	1	1	DGENCDRP	S - First line of routine violates the SAC.
DGENCDU	1	1	DGENCDU	S - First line of routine violates the SAC.
DGENELA	1	1	DGENELA	S - First line of routine violates the SAC.
DGENLCD1	1	1	DGENLCD1	S - First line of routine violates the SAC.
DGENU	1	1	DGENU	S - First line of routine violates the SAC.
DGHTENR	1	208	HTADD	S - Lock missing Timeout.
DGISORPT	1	1	DGISORPT	S - First line of routine violates the SAC.
DGMFA13	1	65	REDISP+4	S - Non-Incremental Lock.
DGMSE	1	1	DGMSE	S - First line of routine violates the SAC.
DGMSTL1	1	113	EL+44	S - Lock missing Timeout.
DGMTH	1	1	DGMTH	S - First line of routine violates the SAC.
DGMTREQB	1	1	DGMTREQB	S - First line of routine violates the SAC.
DGMTU4	1	1	DGMTU4	S - First line of routine violates the SAC.
DGOINPT	1	1	DGOINPT	S - First line of routine violates the SAC.
DGPMGLC	1	10	LOCK	S - Non-Incremental Lock.
DGPMGLC	2	10	LOCK	S - Non-Incremental Lock.
DGPMGLC	3	11	LOCK+1	S - Non-Incremental Lock.
DGPMV301	1	16	NEW+10	S - Lock missing Timeout.
DGPREBJ	1	1	DGPREBJ	S - First line of routine violates the SAC.
DGPREP0	1	1	DGPREP0	S - First line of routine violates the SAC.
DGPTFREL	1	5	ASK	S - Non-Incremental Lock.
DGPTFREL	2	6	ASK+1	S - Non-Incremental Lock.
DGPZ07C	1	1	DGPZ07C	S - First line of routine violates the SAC.
DGPZ07P	1	1	DGPZ07P	S - First line of routine violates the SAC.
DGQEHL70	1	2	DGQEHL70+2	S - 2nd line of routine violates the SAC.
DGQPTQ2	1	1	DGQPTQ2	S - First line of routine violates the SAC.
DGREGEEWS	1	38	GETSUMM+4	W - Vendor specific code is restricted.]
DGREGEEWS	2	38	GETSUMM+4	W - Vendor specific code is restricted.]
DGREGEEWS	3	39	GETSUMM+5	W - Vendor specific code is restricted.]
DGREGEEWS	4	40	GETSUMM+6	W - Vendor specific code is restricted.]
DGREGEEWS	5	40	GETSUMM+6	W - Vendor specific code is restricted.]
DGREGEEWS	6	41	GETSUMM+7	W - Vendor specific code is restricted.]
DGREGEEWS	7	44	GETSUMM+10	W - Vendor specific code is restricted.]
DGREGEEWS	8	49	RESULTS+3	F - Undefined Function.
DGREGEEWS	9	49	RESULTS+3	W - Vendor specific code is restricted.]
DGREGEEWS	10	51	RESULTS+5	W - Vendor specific code is restricted.]
DGREGEEWS	11	52	RESULTS+6	W - Vendor specific code is restricted.]
DGREGEEWS	12	53	RESULTS+7	W - Vendor specific code is restricted.]
DGREGEEWS	13	58	STATCODE+1	W - Vendor specific code is restricted.]
DGREGEEWS	14	67	ERR+7	F - Undefined Function.
