routine	entry_index	line_text	tag_offset	error_text
DGREGEEWS	15	67	ERR+7	W - Vendor specific code is restricted.]
DGREGEEWS	16	67	ERR+7	W - Vendor specific code is restricted.]
DGREGEEWS	17	70	ERR+10	W - Vendor specific code is restricted.]
DGREGFAC	1	1	DGREGFAC	S - First line of routine violates the SAC.
DGRP7CC	1	1	DGRP7CC	S - First line of routine violates the SAC.
DGRRLU	1	1	DGRRLU	S - First line of routine violates the SAC.
DGRRLU0	1	1	DGRRLU0	S - First line of routine violates the SAC.
DGRRLU1	1	1	DGRRLU1	S - First line of routine violates the SAC.
DGRRLU1A	1	1	DGRRLU1A	S - First line of routine violates the SAC.
DGRRLU3	1	1	DGRRLU3	S - First line of routine violates the SAC.
DGRRLU4	1	1	DGRRLU4	S - First line of routine violates the SAC.
DGRRLU5	1	1	DGRRLU5	S - First line of routine violates the SAC.
DGRRLU6	1	1	DGRRLU6	S - First line of routine violates the SAC.
DGRRLUA	1	1	DGRRLUA	S - First line of routine violates the SAC.
DGRRPSAC	1		DGRRPSAC()	S - Violates VA programming standards.
DGRRPSAC	2	1	DGRRPSAC	S - First line of routine violates the SAC.
DGRRPSAT	1	1	DGRRPSAT	S - First line of routine violates the SAC.
DGRRUTL	1	1	DGRRUTL	S - First line of routine violates the SAC.
DGRSTBAD	1	1	DGRSTBAD	S - First line of routine violates the SAC.
DGRTRIG	1	1	DGRTRIG	S - First line of routine violates the SAC.
DGRUGMFU	1	49	ENGET+5	F - Block structure mismatch.
DGUAMWS	1	41	EN+24	W - Vendor specific code is restricted.]
DGUAMWS	2	41	EN+24	F - Unrecognized argument in SET command.
DGUAMWS	3	41	EN+24	F - UNDEFINED COMMAND (rest of line not checked).
DGUAMWS	4	45	EN+28	W - Vendor specific code is restricted.]
DGUAMWS	5	46	EN+29	W - Vendor specific code is restricted.]
DGUAMWS	6	50	EN+33	W - Vendor specific code is restricted.]
DGUAMWS	7	55	EN+38	W - Vendor specific code is restricted.]
DGUAMWS	8	56	EN+39	W - Vendor specific code is restricted.]
DGUAMWS	9	64	EN+47	W - Vendor specific code is restricted.]
DGUAMWS	10	72	ERRRSPMSG+6	W - Vendor specific code is restricted.]
DGVTS00	1	1	DGVTS00	S - First line of routine violates the SAC.
DGVTSA28	1	1	DGVTSA28	S - First line of routine violates the SAC.
DGVTSFS	1	1	DGVTSFS	S - First line of routine violates the SAC.
DI14POST	1	1	DI14POST	S - First line of routine violates the SAC.
DI170ENV	1	1	DI170ENV	S - First line of routine violates the SAC.
DIG	1	1	DIG	S - First line of routine violates the SAC.
DINVMSM	1	11	T0+2	F - Bad Number.
DINVMSM	2	14	T1+2	F - Bad Number.
DINVMSM	3	25	PRGMODE+5	F - UNDEFINED COMMAND (rest of line not checked).
DITCPL	1	1	DITCPL	S - First line of routine violates the SAC.
DSIRCNV1	1	1	DSIRCNV1	S - First line of routine violates the SAC.
DSIROI3	1	1	DSIROI3	S - First line of routine violates the SAC.
DSIROIAH	1	1	DSIROIAH	S - First line of routine violates the SAC.
DSIRPOST	1	1	DSIRPOST	S - First line of routine violates the SAC.
DSIRPRE1	1	1	DSIRPRE1	S - First line of routine violates the SAC.
DSIRRPT1	1	1	DSIRRPT1	S - First line of routine violates the SAC.
DSIRRPT2	1	1	DSIRRPT2	S - First line of routine violates the SAC.
DSIRRPT3	1	1	DSIRRPT3	S - First line of routine violates the SAC.
DSIRRPT4	1	1	DSIRRPT4	S - First line of routine violates the SAC.
DSIRRPTA	1	1	DSIRRPTA	S - First line of routine violates the SAC.
DSIRRPTF	1	1	DSIRRPTF	S - First line of routine violates the SAC.
DSIRRPTR	1	1	DSIRRPTR	S - First line of routine violates the SAC.
DSIRRPTV	1	1	DSIRRPTV	S - First line of routine violates the SAC.
DVB428PT	1	2	DVB428PT+2	S - 2nd line of routine violates the SAC.
DVB429PT	1	2	DVB429PT+2	S - 2nd line of routine violates the SAC.
DVB83RPT	1	1	DVB83RPT	S - First line of routine violates the SAC.
DVBA2748	1	1	DVBA2748	S - First line of routine violates the SAC.
DVBA2773	1	1	DVBA2773	S - First line of routine violates the SAC.
DVBA2784	1	1	DVBA2784	S - First line of routine violates the SAC.
DVBA2795	1	1	DVBA2795	S - First line of routine violates the SAC.
DVBA2796	1	1	DVBA2796	S - First line of routine violates the SAC.
DVBA2798	1	1	DVBA2798	S - First line of routine violates the SAC.
