file_number	piks	piks_method	piks_confidence	piks_evidence
420.96	I	H-15	moderate	package=IFCAP (PRC)
420.97	I	H-15	moderate	package=IFCAP (PRC)
420.98	I	H-15	moderate	package=IFCAP (PRC)
420.99	I	H-15	moderate	package=IFCAP (PRC)
420.9999	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
421	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
421.01	I	H-05	certain	inherits from 421
421.1	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
421.14	I	H-05	certain	inherits from 421.1
421.15	I	H-05	certain	inherits from 421.1
421.2	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
421.21	I	H-05	certain	inherits from 421.2
421.3	I	H-15	moderate	package=IFCAP (PRC)
421.31	I	H-05	certain	inherits from 421.3
421.4	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
421.5	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
421.51	I	H-05	certain	inherits from 421.5
421.523	I	H-05	certain	inherits from 421.5
421.531	I	H-05	certain	inherits from 421.5
421.541	I	H-05	certain	inherits from 421.5
421.6	I	H-15	moderate	package=IFCAP (PRC)
421.65	I	H-05	certain	inherits from 421.6
421.7	I	H-15	moderate	package=IFCAP (PRC)
421.8	I	H-11	high	global=
421.84	I	H-05	certain	inherits from 421.8
421.9	I	H-15	moderate	package=IFCAP (PRC)
422	I	H-15	moderate	package=IFCAP (PRC)
422.01	I	H-05	certain	inherits from 422
422.2	I	H-15	moderate	package=IFCAP (PRC)
423	I	H-09	low	has ptr to file 200 (staff/provider); no ptr to file 2 or 4
423.01	I	H-05	certain	inherits from 423
423.0117	I	H-05	certain	inherits from 423
423.02	I	H-05	certain	inherits from 423
423.03	I	H-05	certain	inherits from 423
423.04	I	H-05	certain	inherits from 423
423.05	I	H-05	certain	inherits from 423
423.06	I	H-05	certain	inherits from 423
423.07	I	H-05	certain	inherits from 423
